StationName,Site,Device,Latitude,Longitude,Secondary,StationNumber
T-1M,T-1,MARU,38.303,-74.949,,1
T-1C,T-1,C-POD,38.336,-74.949,SM3M,2
A-1M,A-1,MARU,38.442,-74.806,,3
A-2M,A-2,MARU,38.378,-74.806,,4
A-3M,A-3,MARU,38.314,-74.806,,5
A-4M,A-4,MARU,38.405,-74.723,,6
A-5M,A-5,MARU,38.343,-74.723,,7
A-5C,A-5,C-POD,38.336,-74.723,SM3M,8
A-6M,A-6,MARU,38.279,-74.723,,9
A-7M,A-7,MARU,38.303,-74.654,,10
A-8M,A-8,MARU,38.343,74.756,,11
T-2M,T-2,MARU,38.303,-74.505,,12
T-2C,T-2,C-POD,38.336,-74.505,,13
T-3*M,T-3*,MARU,38.343,-74.396,,14
T-3M,T-3,MARU,38.342,-74.35,,15
T-3C,T-3,C-POD,38.336,-74.35,,16
V-3,V-3,VR2W,38.333,-75.001,,17
S-1M,S-1,Synch,38.41,-74.775,,18
S-2M,S-2,Synch,38.375,-74.752,,19
S-3M,S-3,Synch,38.347,-74.775,,20
S-4M,S-4,Synch,38.313,-74.753,,21
S-5M,S-5,Synch,38.31,-74.699,,22
S-6M,S-6,Synch,38.348,-74.871,,23
S-7M,S-7,Synch,38.343,-74.614,,24
W-3C,W-3C,C-POD 2,38.396,-74.784,Soundtrap,25
W-1C,W-1C,C-POD 2,38.353,-74.742,SM3M,26
W-2C,W-2C,C-POD 2,38.371,-74.754,,27
W-4C,W-4C,C-POD 2,38.423,-74.774,,28
Oceancity,Oceancity,Oceancity,38.391,-75.0697,,29
Lewes,Lewes,Lewes,38.791,-75.16,,30
MetTower,MetTower,MetTower,38.353,-74.754,,31
P1,P1,Playback,38.338,-74.997,,32
P2,P2,Playback,38.338,-74.94,,33
P3,P3,Playback,38.338,-74.883,,34
P4,P4,Playback,38.338,-74.826,,35
P5,P5,Playback,38.338,-74.769,,36
P6,P6,Playback,38.338,-74.712,,37
P7,P7,Playback,38.338,-74.654,,38
P8,P8,Playback,38.338,-74.597,,39
P9,P9,Playback,38.338,-74.54,,40
P10,P10,Playback,38.338,-74.483,,41
P11,P11,Playback,38.337,-74.425,,42
P12,P12,Playback,38.38,-74.768,,43
P13,P13,Playback,38.424,-74.767,,44
P14,P14,Playback,38.467,-74.768,,45
P15,P15,Playback,38.512,-74.768,,46
P16,P16,Playback,38.556,-74.767,,47
P17,P17,Playback,38.591,-74.772,,48
IS2,IS2,SecorDist,38.304,-74.927,,49
IS2_250,IS2_250,SecorDist,38.304,-74.93,,50
IS2_800,IS2_800,SecorDist,38.304,-74.936,,51
AN3,AN3,SecorDist,38.369,-74.762,,52
AN3_250,AN3_250,SecorDist,38.371,-74.762,,53
AN3_800,AN3_800,SecorDist,38.376,-74.762,,54
AMAR,AMAR,AMAR,38.303,-74.756,,55
D1,D1,FPOD,38.29736,-74.6933,,56
D2,D2,FPOD,38.27425,-74.6755,,57
